Title;Year;Classification;Duration;Genre;Directors;Writers;Cast;TechCrew
Antecâmara;2018;N/C;52 min;['Documentário'];['Jorge Cramez'];[];[];{'Assistente de Montagem': [['José Rito']], 'Assistente de Som': [['Rodolfo Cardoso']], 'Colorista': [['Andreia Bertini']], 'Desenho de Som': [['Miguel Martins']], 'Direcção de Produção': [['Sofia de Sousa']], 'Montagem': [['Tomás Baltazar']], 'Pós-Produção': [['Walla Collective']], 'Produção': [['C.R.I.M.']], 'Produtora': [['Isabel Machado', 'Joana Ferreira']]}
Actos de Cinema;2018;N/C;116 min;['Documentário'];['Jorge Cramez'];[];[];{'Apoio Financeiro': [['Fundação Kalouste Gulbenkian', 'ICA - Instituto do Cinema e do Audiovisual']], 'Fotografia': [['Jorge Cramez']], 'Guião': [['Jorge Cramez']], 'Montagem': [['Tomás Baltazar']], 'Produção': [['C.R.I.M.']], 'Produtora': [['Joana Ferreira', 'Isabel Machado']]}
A Era das Ovelhas;2018;N/C;5m 38s;['Animação'];['Sara Augusto', 'Eva Mendes', 'Joana de Rosa'];['Eva Mendes'];[];{'Animação': [['Sara Augusto']], 'Cenografia': [['Creatura']], 'Fotografia': [['Joana de Rosa']], 'Ilustrações': [['Eva Mendes']], 'Montagem': [['Ana Almeida', 'Sara Augusto']], 'Música': [['Eliana Veríssimo']], 'Narração': [['Jorge Mota']], 'Produção': [['Anexo 82', 'Creatura']], 'Produção Executiva': [['José Pedro Lopes']], 'Som': [['Pedro Marques', 'Pedro Pimentel']]}
Magister;2018;N/C;20 min;['Curta-metragem'];['Gustavo dos Santos'];[];[];{'Produção Executiva': [['Júlio Filipe Cardoso']]}
No Porto de Leixões - Panorama;2018;N/C;27 min;['Documentário'];['Renata Sancho'];[];[];{'Apoio Financeiro': [['Fundação Calouste Gulbenkian']], 'Direcção de Fotografia': [['Mário Castanheira']], 'Engenheiro de Som': [['Ricardo Leal']], 'Montagem': [['Renata Sancho']], 'Montagem de Som': [['Miguel Martins']], 'Produção': [['Cedro Plátano']], 'Registo de Som': [['Pedro Augusto']]}
A Portuguesa;2018;M/12;136 min;['Drama', 'História'];['Rita Azevedo Gomes'];['Rita Azevedo Gomes'];['Adelaide Teixeira', 'Alexandre Alves Costa', 'Clara Riedenstein', 'Fernando Rodrigues', 'Ingrid Caven', 'João Vicente', 'Leonardo Mouramateus', 'Luna Picoli-Truffaut', 'Manuela de Freitas', 'Marcello Urgeghe', 'Nuno Rodrigues', 'Patrícia Saramago', 'Pierre Léon', 'Rita Durão'];{'Apoio Financeiro': [['RTP', 'ICA - Instituto do Cinema e do Audiovisual']], 'Assistente de Câmara': [['Inês Gonçalo']], 'Autor da Obra Original': [['Robert Musil']], 'Co-Produção': [['DuplaCena']], 'Colorista': [['Andreia Bertini']], 'Criação Gráfica': [['Ana Sofia Nunes']], 'Diálogos': [['Rita Azevedo Gomes', 'Agustina Bessa-Luís']], 'Direcção de Fotografia': [['Acácio de Almeida']], 'Direcção de Som': [['Olivier Blanc']], 'Figurinos': [['Tânia Franco', 'Rute Correia']], 'Mistura de Som': [['Tiago Matos']], 'Montagem': [['Patrícia Saramago', 'Rita Azevedo Gomes']], 'Montagem de Som': [['António Porém Pires']], 'Música': [['José Mário Branco']], 'Produção': [['Basilisco Filmes']], 'Produtor': [['António Câmara Manuel', 'Rita Azevedo Gomes']]}
Snu;2019;M/12;93m 51s;['Romance'];['Patrícia Sequeira'];['Claudia Clemente', 'Patrícia Sequeira'];['Ana Nave', 'André Carvalho', 'Beatriz Leonardo', 'Inês Castel-Branco', 'Ivo Alexandre', 'Joana Brandão', 'João Reis', 'Lourenço Conde', 'Maria João Pinho', 'Nádia Santos', 'Patrícia Tavares', 'Paulo Calatré', 'Pedro Almendra', 'Pedro Saavedra', 'Simon Frankel', 'Vera Pimentel'];{'Assistente de Câmara': [['Ricardo Lameiras', 'Ricardo Simoes']], 'Assistente de Montagem': [['Ana Costa']], 'Assistente de Realização': [['Luís Sérgio', 'Renata Sequeira']], 'Colorista': [['Jennifer Mendes']], 'Desenho de Luz': [['Rodrigo Dray']], 'Direcção de Fotografia': [['João Ribeiro']], 'Direcção de Produção': [['Cândida Vieira']], 'Fotografia de Cena': [['Armanda Claro']], 'Iluminação': [['Ivo Mendes']], 'Maquilhagem': [['Ana Lorena']], 'Montagem': [['Pedro Ribeiro']], 'Montagem de Som': [['Elsa Ferreira']], 'Música': [['Surma']], 'Pós-Produção': [['Mónica Bárcia']], 'Produção': [['Santa Rita Filmes', 'Sky Dreams Entertainment']], 'Produtor': [['José Francisco Gandarez']], 'Sonoplastia/Mistura': [['Branko Neskov']]}
Pedro e Inês;2018;M/12;120 min;['Drama'];['António Ferreira'];['António Ferreira', 'Rosa Lobato Faria'];['Berta Susana Teixeira', 'Cristovão Campos', 'Custódia Gallego', 'Diogo Amaral', 'Joana de Verona', 'João Lagarto', 'Miguel Borges', 'Miguel Monteiro', 'Nuno Nolasco', 'Vera Kolodzig'];{'Caracterização': [['Silvia Grabowski']], 'Casting': [['Patrícia Vasconcelos']], 'Desenho de Produção': [['Luísa Bebiano']], 'Direcção de Arte': [['Luísa Bebiano']], 'Direcção de Fotografia': [['Paulo Castilho']], 'Direcção Musical': [['Luís Pedro Madeira']], 'Figurinos': [['Silvia Grabowski']], 'Montagem': [['António Ferreira']], 'Produção': [['Persona Non Grata Pictures']], 'Som': [['Olivier Blanc']]}
Pele de Luz;2018;N/C;19 min;['Curta-metragem'];['André Guiomar'];[];['Anifa Langa', 'Dulce Langa', 'Isaura Langa'];{'Montagem': [['Miguel da Santa']], 'Produção': [['Real Ficção', 'Promarte']], 'Produtor': [['Sol de Carvalho']]}
O Quadro;2018;N/C;;['Curta-metragem', 'Terror'];['Paulo Araújo'];['Paulo Araújo'];['Isabel Feliciano', 'Jorge Rodrigues'];{'Caracterização': [['Isabel Feliciano']], 'Direcção de Arte': [['Paulo Araújo']], 'Direcção de Fotografia': [['Paulo Araújo']], 'Direcção de Som': [['Paulo Araújo']], 'Figurinos': [['Isabel Feliciano']], 'Montagem': [['Paulo Araújo']], 'Música': [['Paulo Araújo']], 'Produção': [['Paulo Araújo']], 'Produtor': [['Paulo Araújo']]}
Moulla;2019;N/C;13m 19s;['Animação'];['Rui Cardoso (III)'];['Rui Cardoso (III)'];['Diogo Dória', 'Elsa Bruxelas'];{'Apoio Financeiro': [['Toonelada', 'Artecomix', 'ICA - Instituto do Cinema e do Audiovisual']], 'Autor da Obra Original': [['Pedro Teixeira Neves']], 'Co-Produção': [['Arte Comix', 'Fátima Guerreiro']], 'Criação Gráfica': [['Rui Cardoso (III)']], 'Guião': [['Rui Cardoso (III)']], 'Montagem': [['Rui Cardoso (III)']], 'Música': [['Flak']], 'Produtor': [['Rui Cardoso (III)']]}
Viana do Castelo;1934;N/C;10m 26s;['Documentário'];[];[];[];{}
Régua;1934;N/C;;['Documentário'];[];[];[];{}
Doutores Palhaços;2018;M/6;79 min;['Documentário'];['Hélder Faria', 'Bernardo Lopes'];['João Fonseca', 'Hélder Faria', 'Bernardo Lopes'];[];{'Montagem': [['Hélder Faria']], 'Produção': [['Fado Filmes', 'Operação Nariz Vermelho', 'Força Maior']], 'Produtor': [['João Fonseca']]}
O Presidente da República Portuguesa Recebe o Ministro da União da África do Sul;1939;N/C;4m 36s;['Documentário'];[];[];[];{}
Mogadouro e Moncorvo;1934;N/C;3m 16s;['Documentário'];[];[];[];{}
Joalharia Santos;1927;N/C;1m 29s;['Filme Promocional'];[];[];[];{}
Inauguração do Bairro de Pescadores da Afurada;1952;N/C;8m 18s;['Documentário'];['António Veríssimo'];[];[];{'Fotografia': [['António Veríssimo']], 'Locução': [['D. João da Câmara']], 'Texto': [['P. Manuel Ferreira da Silva']]}
Imagens da Guiné;1951;N/C;10m 37s;['Documentário'];[];[];[];{'Fotografia': [['Manuel Luís Vieira']], 'Locução': [['Pedro Moutinho']], 'Montagem': [['Isabel de Sá']], 'Produção': [['Agência Geral das Colónias']], 'Som': [['Enrique Domínguez']], 'Texto': [['Fausto Duarte']]}
Gerês;1934;N/C;4m 51s;['Documentário'];[];[];[];{}
Gago Coutinho e Sacadura Cabral;1922;N/C;7m 29s;['Documentário'];[];[];[];{}
Encontro de Futebol entre as Selecções da R.A.F. e do Exército Português;1946;N/C;10m 10s;['Documentário'];[];[];[];{'Assistente de Som': [['Adão Vilela']], 'Assistente Geral': [['Fernando Sousa Neves']], 'Montagem': [['Cinerádio, Lda.']]}
Belezas e Carnaval de Torres;1950;N/C;8m 43s;['Documentário'];['Fernando Sousa Neves'];[];[];{'Produção': [['Organizações Cinematográficas, Lda.']]}
Beira Baixa;1945;N/C;;['Documentário'];[];[];[];{}
Algarve;1934;N/C;10m 39s;['Documentário'];[];[];[];{}
A Arborização das Serras;1948;N/C;;['Documentário'];[];[];[];{}
S. Carlos;1933;N/C;4m 16s;['Curta-metragem'];[];[];[];{}
Sleepwalk;2018;M/12;14m 35s;['Curta-metragem'];['Filipe Melo'];['Filipe Melo'];['Durant Mcleod', 'Greg Lucey', 'Joy Green'];{'Autor da Obra Original': [['Juan Cavia']], 'Caracterização': [['Caroline Lucia']], 'Direcção de Arte': [['Walter Cornás', 'Juan Cavia']], 'Direcção de Fotografia': [['Federico Cantini']], 'Direcção de Som': [['Dillon Bennett']], 'Direcção Musical': [['Filipe Melo']], 'Figurinos': [['Caroline Lucia']], 'Montagem': [['Mariana Gaivão']], 'Produção': [['Fundação Calouste Gulbenkian', 'Força de Produção']], 'Produtor': [['Sandra Faria']]}
24 Memórias por Segundo;2018;N/C;21 min;['Curta-metragem'];['Carlos Miranda II'];[];[];{'Direcção de Fotografia': [['Carlos Miranda II']], 'Montagem': [['Carlos Miranda II']], 'Produtor': [['Carlos Miranda II', 'Daniela Guerra']]}
A Ilha Invisível;2018;N/C;44 min;['Docuficção'];['Rui Almeida Paiva'];[];"['Adilson Afonso', 'Anilton Afonso', 'Guilherme Brito', ""Henrique M'Bemba"", 'Hugo Carvalho', 'Idalina Afonso', 'Vitória Veiga']";{'Apoio Financeiro': [['ICA - Instituto do Cinema e do Audiovisual']], 'Co-Produção': [['Rui Almeida Paiva']], 'Correção de Cor': [['Francisco Costa']], 'Imagem': [['Diogo Allen', 'Bernardo Caldeira']], 'Montagem': [['Francisco Costa', 'Bernardo Caldeira']], 'Produção': [['Cedro Plátano']], 'Produtor': [['Renata Sancho', 'Rui Almeida Paiva']], 'Som': [['Quintino Bastos']]}
Eikasia;2018;N/C;24m 29s;['Ficção-Científica', 'Filme de Escola'];['Francisco Morais', 'Miguel Pinto'];['Francisco Morais', 'Miguel Pinto'];['Carlos Nery', 'Francisco Morais', 'Inês Mingote', 'Iryna Denysyuk', 'Isabel Varela', 'Patrícia Figueiredo', 'Susana Ferrinho'];{'Apoio Financeiro': [['ICA - Instituto do Cinema e do Audiovisual']], 'Direcção de Arte': [['Pedro Bessa', 'Daniel Lopes']], 'Efeitos Especiais': [['Nuno Afonso Ribeiro']], 'Fotografia': [['Maria Nunes']], 'Montagem': [['Miguel Pinto']], 'Música': [['João Azevedo']], 'Produção': [['UBI - Universidade da Beira Interior']], 'Produtor': [['Inês Mingote', 'Dinis Pereira']], 'Som': [['Vasco Silva', 'Rita Lameira']]}
Um Marco no Futebol;2018;N/C;10 min;['Curta-metragem', 'Filme de Escola'];['José Caetano'];['José Caetano'];['Luísa Teixeira', 'Ruben Faria'];{'Apoio Financeiro': [['ICA - Instituto do Cinema e do Audiovisual']], 'Caracterização': [['Maria Moreira']], 'Direcção de Arte': [['Maria Moreira']], 'Direcção de Som': [['Rui Soares']], 'Figurinos': [['Maria Moreira']], 'Fotografia': [['Sofia Pinto']], 'Montagem': [['Diogo Carvalho']], 'Produção': [['UBI - Universidade da Beira Interior', 'The Stoned Dogs']], 'Produtor': [['José Pereira']]}
O Funeral de Armandinho;1946;N/C;3m 42s;['Documentário'];[];[];[];{}
Exercícios Militares em Abrantes;1947;N/C;8 min;['Documentário'];[''];[];[];{}
Calipso;2018;N/C;17m 30s;['Curta-metragem', 'Horror'];['Pedro Martins', 'Paulo A. M. Oliveira'];['Pedro Martins'];['Adriana Moniz', 'Andreia Albernaz', 'Herberto Magalhães', 'Pedro Laginha'];{'Caracterização': [['João Pedro Frazão']], 'Direcção de Arte': [['João Pedro Frazão']], 'Direcção de Fotografia': [['Nuno Martini']], 'Direcção de Som': [['Herberto Magalhães']], 'Direcção Musical': [['Aurélien Vieira Lino']], 'Figurinos': [['João Pedro Frazão']], 'Montagem': [['Paulo A. M. Oliveira']], 'Produção': [['50 Cuts']]}
Turno do Dia;2018;N/C;119 min;['Documentário'];['Pedro Florêncio'];['Pedro Florêncio'];[];{'Direcção de Fotografia': [['Pedro Florêncio']], 'Direcção de Som': [['Pedro Florêncio']], 'Montagem': [['Pedro Florêncio']], 'Produção': [['Zêzere']]}
Declive;2018;N/C;;['Curta-metragem'];['Eduardo Brito'];[];['André Ferreira', 'Miguel Ferreira'];{'Colorista': [['Luís Costa']], 'Design': [['Ana Resende']], 'Fotografia': [['Eduardo Brito']], 'Mistura': [['Vasco Carvalho']], 'Montagem': [['Luís Costa', 'Eduardo Brito']], 'Produção': [['Bando à Parte']], 'Produtor': [['Rodrigo Areias']], 'Som': [['Pedro Marinho']], 'Tradução': [['Blanca Martín-Calero', 'Gloria Dominguez']], 'Voz': [['Lula Pena']]}
Desempregato;2017;M/6;5 min;['Animação', 'Série'];['Sara Marques', 'André Matos'];['Sara Marques', 'André Matos'];[];{'Narração': [['Eduardo Rêgo']], 'Produtor': [['Frederico Serra']]}
Cante;2012;N/C;10 min;['Filme Promocional'];['Sérgio Tréfaut'];[];[];{'Produção': [['Faux']]}
Mar;2018;N/C;120m 25s;['Drama'];['Margarida Gil'];['Margarida Gil', 'Rita Benis'];['Augusto Amado', 'Catarina Wallenstein', 'Maria de Medeiros', 'Nuno Lopes', 'Pedro Cabrita Reis'];{'Apoio Financeiro': [['ICA - Instituto do Cinema e do Audiovisual']], 'Diálogos': [['Margarida Gil', 'Rita Benis']], 'Direcção de Fotografia': [['Mario Masini']], 'Guião': [['Margarida Gil', 'Rita Benis']], 'Montagem': [['João Braz']], 'Música': [['João Gil']], 'Produção': [['Ar de Filmes']], 'Produtor': [['Alexandre Oliveira']]}
A Pedra Não Espera;2018;N/C;55 min;['Documentário'];['Graça Castanheira'];[];['João Cutileiro', 'Joaquim Caetano', 'Margarida Lagarto'];{'Apoio Financeiro': [['RTP', 'Direcção Regional de Cultura do Alentejo', 'ICA - Instituto do Cinema e do Audiovisual']], 'Direcção de Produção': [['Matilde Menezes Ferreira']], 'Efeitos Visuais': [['Irma Lucia']], 'Fotografia': [['Rui Carvalheira', 'Graça Castanheira']], 'Produção': [['Sofia Tonicher', 'Midas Filmes']], 'Produtor': [['Pedro Borges']], 'Som': [['Pedro Freitas']]}
O Livro Negro;2018;N/C;113 min;['Drama', 'Série'];['Valéria Sarmiento'];['Carlos Saboga'];['David Caracol', 'Fleur Fitoussi', 'Jenna Thiam', 'Lou de Laâge', 'Niels Schneider', 'Stanislas Merhar', 'Tiago Varela da Silva', 'Vasco Varela da Silva'];{'Assistente de Realização': [['António Pinhão Botelho', 'Paulo Mil Homens']], 'Autor da Obra Original': [['Camilo Castelo Branco']], 'Co-Produtor': [['Carlos Bedran']], 'Direcção de Arte': [['Isabel Branco']], 'Direcção de Fotografia': [['Acácio de Almeida']], 'Montagem': [['Luca Alverdi']], 'Música': [['Jorge Arriagada']], 'Produção': [['Leopardo Filmes', 'Alfama Films']], 'Produtor': [['Paulo Branco']], 'Produtor Executivo': [['Ana Pinhão Moura']], 'Som': [['Carlos Mota', 'Miguel Martins']]}
5 Cigarrilhas;2018;N/C;14 min;['Curta-metragem'];['Passos Zamith'];['Passos Zamith'];['Célia Lopes', 'Eloy Monteiro', 'Pedro Faria', 'Telmo Cunha'];{'Assistente de Câmara': [['Pedro Faria']], 'Direcção de Fotografia': [['Ana Oliveira']], 'Montagem': [['Guilherme Fernandes', 'Passos Zamith']], 'Produção': [['Filmógrafo']], 'Produtor': [['Passos Zamith']], 'Produtor Delegado': [['António Costa Valente']]}
Linhas Tortas;2018;N/C;68 min;['Drama'];['Rita Nunes'];['Carmo Afonso'];['Américo Silva', 'Ana Padrão', 'Elmano Sancho', 'Inês Maria Meneses', 'Joana Pais de Brito', 'Joana Ribeiro', 'Jorge Vaz Gomes', 'Manuel Wiborg', 'Maria Leite', 'Miguel Nunes', 'Miguel Romeira', 'Nuno Lucas', 'Sara M. Felício', 'Víctor Dias'];{'Apoio Financeiro': [['ICA - Instituto do Cinema e do Audiovisual']], 'Decoração': [['Luís Hipólito']], 'Direcção de Fotografia': [['Manuel Braga']], 'Direcção de Produção': [['Daniela Leitão']], 'Montagem': [['Helena Alves']], 'Música': [['Superpitcher']], 'Produção': [['Leopardo Filmes']], 'Produtor': [['Paulo Branco']], 'Produtor Executivo': [['Ana Pinhão Moura']], 'Som': [['Raquel Jacinto', 'Pedro Góis', 'Tiago Raposinho']]}
Flores Para Godzilla;2018;N/C;71m 17s;['Drama'];['Carlos Conceição'];['Carlos Conceição'];['Anabela Moreira', 'Inês Costa', 'João Arrais'];{'Apoio Financeiro': [['ICA - Instituto do Cinema e do Audiovisual']], 'Diálogos': [['Carlos Conceição']], 'Fotografia': [['Vasco Viana']], 'Guião': [['Carlos Conceição']], 'Montagem': [['Mariana Gaivão', 'António Gonçalves']], 'Produção': [['Coyote Vadio']], 'Produtor': [['António Gonçalves', 'Manuel Pureza']]}
À Tona;2018;N/C;10m 54s;['Animação'];['Filipe Abranches'];['Filipe Abranches'];[];{'Apoio Financeiro': [['ICA - Instituto do Cinema e do Audiovisual']], 'Criação Gráfica': [['Filipe Abranches']], 'Diálogos': [['Filipe Abranches']], 'Fotografia': [['Filipe Abranches']], 'Guião': [['Filipe Abranches']], 'Montagem': [['Nuno Amorim', 'Filipe Abranches', 'Eduardo Raon']], 'Música': [['Eduardo Raon']], 'Produção': [['Animais AVPL']], 'Produtor': [['Vanessa Ventura', 'Nuno Amorim']], 'Voz': [['Eric Dean Scott']]}
Viveiro;2019;N/C;;['Documentário'];['Pedro Filipe Marques'];[];[];{'Produção': [['O Som e a Fúria']], 'Produtor': [['Sandro Aguilar', 'Luís Urbano']]}
Golpe de Sol;2019;M/12;82 min;['Romance'];['Vicente Alves do Ó'];['Vicente Alves do Ó'];['Nuno Pardal', 'Oceana Basílio', 'Rafael Gomes', 'Ricardo Barbosa', 'Ricardo Pereira'];{'Casting': [['Nuno Diogo']], 'Direcção de Fotografia': [['Luís Branquinho']], 'Direcção de Produção': [['Sandra Paulo', 'Sara Levezinho']], 'Direcção de Som': [['Pedro Melo']], 'Figurinos': [['Mia Lourenço']], 'Maquilhagem': [['Sandra Pinto']], 'Montagem': [['Hugo Santiago']], 'Produção': [['Ukbar Filmes']], 'Produtor': [['Pablo Iraola', 'Pandora da Cunha Telles']], 'Supervisão de Produção': [['João Fonseca']]}
Gabriel;2018;N/C;;['Drama'];['Nuno Bernardo'];[];['Ana Marta Ferreira', 'Igor Regalla', 'José Condessa'];{'Apoio Financeiro': [['ICA - Instituto do Cinema e do Audiovisual']], 'Direcção de Fotografia': [['Pedro Negrão']], 'Direcção de Produção': [['Bruno Adrião']], 'Figurinos': [['Sara Lopes']], 'Montagem': [['Ricardo Gouveia']], 'Produção': [['beActive']], 'Produtor': [['Nuno Bernardo']], 'Som': [['Adrian Santos']]}
Campo;2018;N/C;106 min;['Documentário'];['Tiago Hespanha'];[];[];{'Assistente de Realização': [['Tiago Melo Bento']], 'Câmara': [['Cláudia Varejão', 'Rui Xavier', 'Tiago Hespanha']], 'Chefe de Produção': [['Joana Bravo']], 'Produção': [['Terratreme']], 'Produtor': [['João Matos']], 'Som': [['Eva Valino', 'Adriana Bolito']]}
Sobre Tudo Sobre Nada;2018;N/C;87 min;['Documentário', 'Experimental'];['Dídio Pestana'];[];[];{'Correção de Cor': [['Rui Ribeiro']], 'Fotografia': [['Dídio Pestana']], 'Masterização Digital': [['Irma Lucia']], 'Mistura de Som': [['Dídio Pestana']], 'Montagem': [['Dídio Pestana', 'Rui Ribeiro']], 'Produção': [['Kintop', 'Dídio Pestana']], 'Produtor Associado': [['Ansgar Schaefer', 'Rui Ribeiro']], 'Som': [['Dídio Pestana']], 'Tradução': [['Mariana Vieira']], 'Voz': [['Dídio Pestana']]}
Vadio;2018;N/C;92 min;['Documentário'];['Stefan Lechner'];['Stefan Lechner'];[];{'Apoio Financeiro': [['ICA - Instituto do Cinema e do Audiovisual', 'Creative Europe', 'Museu do Fado']], 'Criação Gráfica': [['Sofia Ferreira']], 'Diálogos': [['Stefan Lechner']], 'Fotografia': [['Vasco Viana', 'Vasco Saltão']], 'Guião': [['Stefan Lechner']], 'Montagem': [['Stefan Lechner', 'Patrícia Saramago']], 'Produção': [['Real Ficção']], 'Produtor': [['Rui Simões', 'Jacinta Barros']]}
Mysteries of the Wild - Island of the Monoculis;2018;N/C;;['Animação'];['Rui Veiga'];['Rui Veiga'];['Keith Esher Davis'];{'Apoio Financeiro': [['ICA - Instituto do Cinema e do Audiovisual']], 'Criação Gráfica': [['Ana Gomes']], 'Fotografia': [['José Rato', 'Miguel Manso']], 'Guião': [['Rui Veiga']], 'Montagem': [['Miguel V. Santos', 'Rui Veiga', 'António Forte']], 'Música': [['Tiago Inuit']], 'Produção': [['Galactifiction Lda.', 'Droid I.D.']], 'Voz': [['Keith Esher Davis']]}
Entre Sombras;2018;N/C;13m 25s;['Curta-metragem'];[''];['Mónica Santos', 'Alice Eça Guimarães'];['Gilberto Oliveira', 'Sara Costa'];{'Apoio Financeiro': [['ICA - Instituto do Cinema e do Audiovisual']], 'Fotografia': [['Manuel Pinto Barros']], 'Guião': [['Mónica Santos', 'Alice Eça Guimarães']], 'Montagem': [['Mónica Santos', 'Alice Eça Guimarães']], 'Música': [['Pedro Marques']], 'Produção': [['Animais AVPL']], 'Produtor': [['Vanessa Ventura', 'Nuno Amorim']], 'Voz': [['Lyndsey Richardson', 'Margarida Vila-Nova']]}
Anteu;2018;N/C;29 min;['Curta-metragem'];['João Vladimiro'];['Frederico Lobo', 'João Vladimiro', 'Luís Palito'];['Amélia Costa', 'Ana Cruz', 'Emília Cruz', 'Filipe Cruz', 'Gaspar Marques', 'João Figueiredo', 'Luís Tavares', 'Zé da Cruz', 'Zé Pedro Cruz'];{'Co-Produção': [['Pomme Hurlante Films']], 'Correção de Cor': [['Yannig Willmann']], 'Direcção de Arte': [['João Calixto']], 'Direcção de Fotografia': [['Frederico Lobo']], 'Direcção de Produção': [['Joana Bravo']], 'Mistura de Som': [['Miguel Martins']], 'Montagem': [['Frederico Lobo', 'João Vladimiro', 'Telmo Churro', 'Luís Palito']], 'Montagem de Som': [['Miguel Martins']], 'Produção': [['Terratreme']], 'Som': [['Gonçalo Mota']]}
3 Anos Depois;2018;N/C;13m 22s;['Curta-metragem', 'Drama'];['Marco Amaral'];['Marco Amaral'];['Ana Moreira', 'Custódia Gallego', 'Francisco Soares'];{'Apoio Financeiro': [['ICA - Instituto do Cinema e do Audiovisual']], 'Diálogos': [['Marco Amaral']], 'Fotografia': [['Carlos Lopes']], 'Guião': [['Marco Amaral']], 'Montagem': [['João Braz', 'Marco Amaral']], 'Produção': [['Ukbar Filmes']], 'Produtor': [['Pablo Iraola', 'Pandora da Cunha Telles']]}
Parque Mayer;2018;N/C;;['Drama'];['António-Pedro Vasconcelos'];['Tiago Santos'];['Alexandra Lencastre', 'Cristina Cavalinhos', 'Daniela Melchior', 'Diogo Morgado', 'Duarte Grilo', 'Francisco Froes', 'Jorge Vaz Gomes', 'Luís Lourenço', 'Miguel Borges', 'Miguel Flor De Lima', 'Miguel Guilherme', 'Natalina José', 'Pedro Lacerda', 'Rute Miranda', 'Sérgio Praia', 'Tino Navarro', 'Vera Moura'];{'Direcção de Fotografia': [['Miguel Sales Lopes']], 'Efeitos Visuais': [['Rafael Galdó']], 'Electricista': [['Mauro Airez', 'Pedro Pereira', 'Tiago Loureiro', 'António Pedro Santos']], 'Figurinos': [['Maria Gonzaga']], 'Montagem': [['Pedro Ribeiro']], 'Música': [['José M. Afonso']], 'Operador de Steadicam': [['Leandro Vaz da Silva']], 'Produção': [['MGN Filmes']], 'Produtor': [['Tino Navarro']], 'Som': [['Vasco Pedroso']], 'Vestuário': [['Marta Iria']]}
Anjo;2018;N/C;24 min;['Curta-metragem'];['Miguel Nunes'];['Miguel Nunes', 'Francisco Mira Godinho'];['Edgar Morais', 'Joana de Verona', 'Miguel Nunes'];{'Direcção de Fotografia': [['Manuel Braga']], 'Direcção de Som': [['Bruno Garcez']], 'Figurinos': [['Gonçalo Pereira']], 'Maquilhagem': [['Olga José']], 'Mistura de Som': [['Rafael Gonçalves Cardoso']], 'Montagem': [['Bruno de Freitas Leal']]}
Circo do Amor;2018;N/C;20 min;['Curta-metragem', 'Drama'];['Miguel Clara Vasconcelos'];['Miguel Clara Vasconcelos'];['Alexander David', 'Arthur Jacquin', 'Isabel Costa', 'Laurent Roth', 'Romi Soares'];{'Co-Produtor': [['Tiphaine Robion', 'Louise Hentgen']], 'Fotografia': [['Manuel Pinto Braga']], 'Produção': [['Curtas Metragens CRL', 'Vertical Production']], 'Produtor': [['Nuno Rodrigues', 'Miguel Dias']], 'Som': [['Rafael Cardoso']]}
Rio Entre as Montanhas;2018;N/C;10 min;['Curta-metragem'];['José Magro'];['José Magro', 'Tiago Carvalho', 'Miguel da Santa'];['Kong Wei Si', 'Niu Jin', 'Wu Yi Fan'];{'Fotografia': [['Tiago Carvalho', 'Miguel da Santa']], 'Montagem': [['José Magro', 'Miguel da Santa', 'Tiago Carvalho']], 'Produção': [['Curtas Metragens CRL']], 'Produtor': [['Hugo Ramos']], 'Som': [['Tiago Cardoso', 'Dinis Henriques']]}
Aos Nossos Amigos;2017;N/C;69 min;['Docuficção'];['Afonso Mota'];[];['Inês Carvalho', 'João Dória', 'Sara Graça'];{'Banda Sonora': [['Caveira', 'Putas Bêbadas', 'Pega Monstro']], 'Colorista': [['Rita Lamas']], 'Fotografia': [['Afonso Mota']], 'Montagem': [['Afonso Mota']], 'Produtor': [['Afonso Mota']], 'Som': [['Rafael Gonçalves Cardoso', 'Tomé Costa']]}
Ode Triunfal;1961;N/C;;['Curta-metragem', 'Experimental'];['António de Macedo'];[];[];{}
Setembro a Vida Inteira;2018;M/12;98 min;['Docuficção'];['Ana Sofia Fonseca'];[];[];{'Assistente de Imagem': [['Pedro Oliveira']], 'Canções por': [['Jorge Palma']], 'Direcção de Arte': [['Ricardo Nunes', 'Luís Alegre']], 'Direcção de Fotografia': [['Carlos Ferreira']], 'Edição': [['Rui Pereira']], 'Imagem Adicional': [['Nuno Assunção', 'Hugo Folgado']], 'Letra das Canções': [['Alberto Janes']], 'Montagem': [['Ricardo Tenreiro']], 'Música': [['José M. Afonse', 'Irene Orta Cintado', 'João Amaral']], 'Pesquisa': [['Ana Sofia Fonseca']], 'Produção': [['Carrossel Produções']], 'Produtor': [['Ana Sofia Fonseca', 'Renata Amaro']], 'Som Adicional': [['Pedro Gaspar', 'Ana Sofia Fonseca']], 'Som Directo': [['Jorge Cabanelas']]}
Gondomar;1940;N/C;9m 20s;['Documentário'];[];[];[];{}
Festas da Cidade do Porto;1948;N/C;;['Documentário'];[];[];[];{}
Entroncamento;1946;N/C;5m 11s;['Curta-metragem'];[];[];[];{}
Bracara Augusta;1953;N/C;10m 49s;['Documentário'];['Ricardo Malheiro'];[];[];{}
A Reunião do Comité Internacional Olímpico em Lisboa;1926;N/C;19m 11s;['Reportagem'];['Artur Costa de Macedo'];[];[];{}
