Title;Year;Classification;Duration;Genre;Directors;Writers;Cast;TechCrew
Oxalá;1981;N/C;131 min;['Drama'];['António-Pedro Vasconcelos'];['António-Pedro Vasconcelos'];['Adelaide João', 'Ana Cardoso', 'António-Pedro Vasconcelos', 'Arlette de Almeida', 'Émile Boisset', 'Graça Leitão', 'Jacqueline Bourguignon', 'João Melo', 'João Pedro Bénard da Costa', 'Joaquim Veríssimo', 'Judite Magre', 'Karen Blanguernon', 'Laura Soveral', 'Lia Gama', 'Lina Morgado', 'Manuel Baeta Neves', 'Manuel Guanilho', 'Manuel Sande e Castro', 'Marta Reynolds', 'Miguel Melo', 'Odete Teixeira', 'Pedro Efe', 'Pedro Guimarães', 'Pedro Melo', 'Rui Azevedo Avelar', 'Ruy Furtado', 'Teresa Madruga'];{'Anotação': [['Maria João Rocha']], 'Assistente de Imagem': [['José Carvalho']], 'Assistente de Produção': [['José Maria Vaz da Silva', 'António Gonçalves']], 'Assistente de Realização': [['Maria João Rocha', 'Leandro Ferreira', 'Albano Silva Pereira', 'João Pedro Bénard da Costa']], 'Colaboração': [['António da Cunha Telles', 'Cineastas Associados']], 'Criação Gráfica': [['Maria João Amorim']], 'Diálogos': [['António-Pedro Vasconcelos']], 'Direcção de Fotografia': [['Mário Barroso', 'João Rocha']], 'Direcção de Produção': [['José Luís Vasconcelos', 'José Mazeda']], 'Direcção de Som': [['Vasco Pimentel', 'Jean-Paul Mugel']], 'Fotografia de Cena': [['Paulo Vasconcelos']], 'Genérico': [['Mário Neves']], 'Gestão de Produção': [['Manuel Guanilho']], 'Montagem': [['Leonor Guterres']], 'Narração': [['António-Pedro Vasconcelos']], 'Operador de Imagem': [['Emílio Pinto']], 'Produção': [['V.O. Filmes']], 'Produção Executiva': [['Paulo Branco']], 'Sonoplastia/Mistura': [['Antoine Bonfanti']]}
Ovar;1936;M/12;;['Documentário'];['Amélia Borges Rodrigues'];[];[];{'Produção': [['Celeste Bastos y Lago']]}
Outros Bairros;1999;;90 min;['Documentário'];['Vasco Pimentel', 'Inês Gonçalves', 'Kiluanje Liberdade'];[];[];"{'Direcção de Fotografia': [['João Ribeiro']], 'Produção': [['Maria João Mayer', ""François d'Artemare""]]}"
O Outro;1980;;18 min;['Curta-metragem'];['Jorge Marecos Duarte'];[];[];{}
Outono no Alto Douro;1978;;70 min;['Documentário'];['Linda Bringel'];[];[];{}
Movimento e Ruas de Lisboa;1896;;;['Documentário'];['Aurélio da Paz dos Reis'];[];[];{}
Outono;1934;;;['Documentário', 'Curta-metragem'];['Fernando de Barros', 'Manuel Luís Vieira'];[];[];{'Produção': [['H. da Costa']]}
Ourém;1936;;;['Documentário'];[];[];[];{}
Ouros do Perú;1965;;38 min;['Documentário'];['António Campos'];[];[];{}
Ourivesaria Portuguesa;1975;;22 min;['Documentário'];['Mário Fialho Lopes'];[];[];{'Direcção de Fotografia': [['João Moreira (II)']], 'Produção': [['Mário Fialho Lopes']]}
